# Error log for MODE=sa_manual, PROJECT=libxml2_62911_vul
[ERR] 000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 016_c14n.c_828_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/016_c14n.c_828_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 016_entities.c_163_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/016_entities.c_163_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 017_c14n.c_837_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/017_c14n.c_837_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 017_encoding.c_1433_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/017_encoding.c_1433_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 018_c14n.c_661_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/018_c14n.c_661_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 019_encoding.c_1128_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/019_encoding.c_1128_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 020_error.c_219_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/020_error.c_219_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 022_c14n.c_327_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/022_c14n.c_327_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 023_c14n.c_328_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/023_c14n.c_328_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 023_catalog.c_998_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/023_catalog.c_998_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 025_c14n.c_299_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/025_c14n.c_299_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 026_c14n.c_303_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/026_c14n.c_303_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 027_c14n.c_306_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/027_c14n.c_306_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 028_c14n.c_288_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/028_c14n.c_288_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 029_c14n.c_260_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/029_c14n.c_260_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 031_parserInternals.c_2149_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/031_parserInternals.c_2149_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 032_catalog.c_414_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/032_catalog.c_414_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 032_hash.c_1134_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/032_hash.c_1134_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 033_hash.c_1140_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/033_hash.c_1140_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 033_parserInternals.c_1849_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/033_parserInternals.c_1849_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 034_encoding.c_358_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/034_encoding.c_358_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 034_parserInternals.c_1854_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/034_parserInternals.c_1854_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 035_parserInternals.c_1856_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/035_parserInternals.c_1856_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 036_parserInternals.c_1857_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/036_parserInternals.c_1857_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 038_pattern.c_1699_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/038_pattern.c_1699_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 039_hash.c_490_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/039_hash.c_490_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 039_list.c_197_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/039_list.c_197_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 040_hash.c_498_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/040_hash.c_498_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 040_pattern.c_1437_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/040_pattern.c_1437_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 041_parserInternals.c_1584_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/041_parserInternals.c_1584_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 042_hash.c_510_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/042_hash.c_510_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 044_buf.c_798_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/044_buf.c_798_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 044_hash.c_571_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/044_hash.c_571_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 045_hash.c_577_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/045_hash.c_577_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 045_HTMLparser.c_2445_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/045_HTMLparser.c_2445_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 046_buf.c_699_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/046_buf.c_699_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 046_hash.c_365_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/046_hash.c_365_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 047_buf.c_728_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/047_buf.c_728_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 048_relaxng.c_10647_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/048_relaxng.c_10647_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 050_HTMLparser.c_2318_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/050_HTMLparser.c_2318_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 052_buf.c_350_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/052_buf.c_350_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 053_buf.c_357_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/053_buf.c_357_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 053_HTMLparser.c_2284_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/053_HTMLparser.c_2284_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 056_HTMLparser.c_2185_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/056_HTMLparser.c_2185_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 058_relaxng.c_10553_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/058_relaxng.c_10553_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 060_pattern.c_331_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/060_pattern.c_331_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 061_pattern.c_305_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/061_pattern.c_305_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 063_pattern.c_258_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/063_pattern.c_258_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 064_pattern.c_209_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/064_pattern.c_209_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 065_schematron.c_1720_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/065_schematron.c_1720_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 066_globals.c_837_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/066_globals.c_837_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 066_relaxng.c_9139_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/066_relaxng.c_9139_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 067_globals.c_789_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/067_globals.c_789_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 067_relaxng.c_9145_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/067_relaxng.c_9145_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 068_schematron.c_727_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/068_schematron.c_727_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 069_schematron.c_688_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/069_schematron.c_688_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 070_parser.c_11894_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/070_parser.c_11894_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 070_runtest.c_4729_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/070_runtest.c_4729_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 071_runtest.c_4593_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/071_runtest.c_4593_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 071_schematron.c_646_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/071_schematron.c_646_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 072_schematron.c_590_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/072_schematron.c_590_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 072_testdict.c_507_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/072_testdict.c_507_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 073_schematron.c_538_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/073_schematron.c_538_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 074_schematron.c_457_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/074_schematron.c_457_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 075_testdict.c_402_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/075_testdict.c_402_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 076_testdict.c_404_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/076_testdict.c_404_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 077_schematron.c_353_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/077_schematron.c_353_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 077_testdict.c_406_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/077_testdict.c_406_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 079_parser.c_11212_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/079_parser.c_11212_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 079_testdict.c_408_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/079_testdict.c_408_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 080_runtest.c_4299_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/080_runtest.c_4299_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 081_testdict.c_299_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/081_testdict.c_299_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 082_testlimits.c_1324_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/082_testlimits.c_1324_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 083_testlimits.c_1334_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/083_testlimits.c_1334_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 084_testdict.c_140_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/084_testdict.c_140_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 084_testlimits.c_331_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/084_testlimits.c_331_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 085_runtest.c_3932_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/085_runtest.c_3932_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 086_testlimits.c_335_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/086_testlimits.c_335_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 087_runtest.c_3936_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/087_runtest.c_3936_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 088_testlimits.c_343_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/088_testlimits.c_343_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 089_testlimits.c_347_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/089_testlimits.c_347_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 090_runtest.c_3963_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/090_runtest.c_3963_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 090_testlimits.c_353_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/090_testlimits.c_353_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 091_testlimits.c_278_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/091_testlimits.c_278_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 092_runtest.c_3777_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/092_runtest.c_3777_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 092_testlimits.c_262_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/092_testlimits.c_262_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 094_testlimits.c_184_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/094_testlimits.c_184_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 095_runtest.c_3692_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/095_runtest.c_3692_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 095_testlimits.c_189_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/095_testlimits.c_189_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 096_runtest.c_3531_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/096_runtest.c_3531_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 096_testlimits.c_197_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/096_testlimits.c_197_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 097_runtest.c_3539_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/097_runtest.c_3539_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
